id,question_text,purpose,priority,task_category_code,framework_code,is_universal,is_conditional,condition_text,display_order
U1,What is the scope or boundary of this task? What's explicitly out of scope?,Define limits,high,,,1,0,,1
U2,How will you measure success? What does a good outcome look like?,Success criteria,high,,,1,0,,2
U3,Who is the intended audience for this output?,Audience clarity,high,,,1,0,,3
U4,"What constraints exist (time, budget, length, format, resources)?",Limitation awareness,high,,,1,0,,4
U5,What background context is essential to understand?,Context gathering,high,,,1,0,,5
U6,What have you already tried or considered?,Avoid redundancy,high,,,1,0,,6
COS1,Who is the specific audience for this content? What's their role and knowledge level?,Audience definition,high,,CO_STAR,0,0,,1
COS2,"What's the primary objective—what should the reader do, think, or feel after reading?",Objective clarity,high,,CO_STAR,0,0,,2
COS3,"What writing style fits best—formal, conversational, technical, storytelling?",Style determination,high,,CO_STAR,0,0,,3
COS4,"What tone should come through—professional, friendly, urgent, empathetic, authoritative?",Tone setting,high,,CO_STAR,0,0,,4
COS5,"What format works best for this content—paragraphs, bullet points, sections with headers?",Response format,medium,,CO_STAR,0,0,,5
COS6,What background context does the AI need to understand the situation?,Context gathering,medium,,CO_STAR,0,0,,6
COS7,"Are there any words, phrases, or topics to avoid?",Boundaries,medium,,CO_STAR,0,0,,7
COS8,Is there existing content or examples to match in style?,Style reference,low,,CO_STAR,0,0,,8
REA1,"What tools, resources, or information sources are available?",Tool inventory,high,,REACT,0,0,,1
REA2,What's the end goal—what specific outcome are you trying to achieve?,Goal clarity,high,,REACT,0,0,,2
REA3,How will you know when the task is complete? What signals success?,Termination criteria,high,,REACT,0,0,,3
REA4,What constraints or rules must be followed during the process?,Guardrails,medium,,REACT,0,0,,4
REA5,"If initial approaches fail, what alternatives should be considered?",Fallback planning,medium,,REACT,0,0,,5
REA6,Are there any actions or sources that should be avoided?,Boundaries,low,,REACT,0,0,,6
REA_COND_1,What sources are considered authoritative?,Identify authoritative sources,medium,,REACT,0,1,research task,99
REA_COND_2,What error handling is needed?,Error handling requirements,medium,,REACT,0,1,technical task,99
REA_COND_3,What are the dependencies between steps?,Dependencies,medium,,REACT,0,1,multi-step task,99
SRF1,What are the specific quality criteria for this output?,Quality standards,high,,SELF_REFINE,0,0,,1
SRF2,What aspects are most important to get right?,Priority focus,high,,SELF_REFINE,0,0,,2
SRF3,How many refinement iterations are acceptable?,Iteration bounds,medium,,SELF_REFINE,0,0,,3
SRF4,What's the minimum acceptable quality threshold?,Quality floor,medium,,SELF_REFINE,0,0,,4
SRF5,Are there examples of excellent outputs to aspire to?,Quality reference,medium,,SELF_REFINE,0,0,,5
SRF6,What common mistakes or pitfalls should be watched for?,Error awareness,low,,SELF_REFINE,0,0,,6
STB1,What domain or field does this question belong to?,Domain identification,high,,STEP_BACK,0,0,,1
STB2,What general principles or theories might apply?,Principle prompting,high,,STEP_BACK,0,0,,2
STB3,What's the specific question you need answered?,Question clarity,high,,STEP_BACK,0,0,,3
STB4,What level of detail is needed in the answer?,Depth calibration,medium,,STEP_BACK,0,0,,4
STB5,Are there related concepts you already understand?,Build on existing,low,,STEP_BACK,0,0,,5
STB_COND_1,What formulas or laws might be relevant?,Formulas and laws,medium,,STEP_BACK,0,1,STEM task,99
STB_COND_2,What categories of information would help?,Information categories,medium,,STEP_BACK,0,1,knowledge task,99
STB_COND_3,What logical principles apply?,Logical principles,medium,,STEP_BACK,0,1,reasoning task,99
SOT1,What's the main topic or question to address?,Topic focus,high,,SKELETON_OF_THOUGHT,0,0,,1
SOT2,How many main points should the response cover?,Scope sizing,high,,SKELETON_OF_THOUGHT,0,0,,2
SOT3,Is there a preferred logical order for the points?,Structure guidance,medium,,SKELETON_OF_THOUGHT,0,0,,3
SOT4,How detailed should each point be?,Depth calibration,medium,,SKELETON_OF_THOUGHT,0,0,,4
SOT5,"Does coherence between points matter, or can they be independent?",Framework fit check,medium,,SKELETON_OF_THOUGHT,0,0,,5
MET1,What task will the generated prompt be used for?,Target task,high,,META_PROMPTING,0,0,,1
MET2,What model will execute the prompt (if known)?,Model targeting,high,,META_PROMPTING,0,0,,2
MET3,What output format and quality is expected?,Output requirements,high,,META_PROMPTING,0,0,,3
MET4,What's the user profile for the generated prompt (if known)?,Personality targeting,medium,,META_PROMPTING,0,0,,4
MET5,"Are there existing prompts to improve, or starting from scratch?",Starting point,medium,,META_PROMPTING,0,0,,5
MET6,What constraints must the prompt respect?,Boundaries,medium,,META_PROMPTING,0,0,,6
MET7,What has been tried that didn't work well?,Failure learning,low,,META_PROMPTING,0,0,,7
D1,What options are you currently considering?,Map the decision space,high,DECISION,,0,0,,1
D2,What criteria matter most in making this decision?,Identify decision factors,high,DECISION,,0,0,,2
D3,What's the cost or impact of choosing wrong?,Understand stakes,medium,DECISION,,0,0,,3
D4,"Is this decision reversible, or are you locked in once you choose?",Assess commitment level,medium,DECISION,,0,0,,4
D5,What information would make this decision obvious?,Identify knowledge gaps,medium,DECISION,,0,0,,5
D6,What's your timeline for making this decision?,Urgency assessment,medium,DECISION,,0,0,,6
D7,Who else is affected by or involved in this decision?,Stakeholder mapping,medium,DECISION,,0,0,,7
D8,Have you made similar decisions before? What worked or didn't?,Learn from history,low,DECISION,,0,0,,8
D9,"What's your gut telling you, and why might you be hesitating?",Surface intuition,low,DECISION,,0,0,,9
D10,"If you had to decide right now, what would you choose?",Force prioritisation,low,DECISION,,0,0,,10
D_COND_1,Can we narrow to the top 3-4 contenders?,Narrow options,high,DECISION,,0,1,many options revealed,99
D_COND_2,"If you could only optimise for one factor, which would it be?",Single factor optimisation,high,DECISION,,0,1,vague criteria,99
D_COND_3,What's your risk tolerance here?,Risk tolerance,high,DECISION,,0,1,high stakes,99
S1,What's the time horizon for this strategy?,Temporal scope,high,STRATEGY,,0,0,,1
S2,"What resources are available (budget, team, tools)?",Resource constraints,high,STRATEGY,,0,0,,2
S3,What does success look like at the end of this period?,Goal definition,high,STRATEGY,,0,0,,3
S4,Who are the key stakeholders who need to buy in?,Stakeholder mapping,high,STRATEGY,,0,0,,4
S5,"What's been tried before, and what were the results?",Historical context,medium,STRATEGY,,0,0,,5
S6,What are the biggest obstacles or risks you foresee?,Risk identification,medium,STRATEGY,,0,0,,6
S7,Who are your main competitors or alternatives?,Competitive context,medium,STRATEGY,,0,0,,7
S8,What's your unique advantage or differentiation?,Positioning,medium,STRATEGY,,0,0,,8
S9,What's the current state you're starting from?,Baseline assessment,medium,STRATEGY,,0,0,,9
S10,What dependencies or external factors could affect this?,External awareness,low,STRATEGY,,0,0,,10
S11,What would cause this strategy to fail?,Failure mode analysis,low,STRATEGY,,0,0,,11
S12,What's your appetite for risk versus proven approaches?,Risk tolerance,low,STRATEGY,,0,0,,12
S_COND_1,"What stage is your company (idea, MVP, growth)?",Company stage,high,STRATEGY,,0,1,startup context,99
S_COND_2,What channels have you used before?,Channel history,high,STRATEGY,,0,1,marketing strategy,99
S_COND_3,Who is your target customer persona?,Customer persona,high,STRATEGY,,0,1,product strategy,99
A1,What data or information do you have access to?,Data inventory,high,ANALYSIS,,0,0,,1
A2,What's the specific question you're trying to answer?,Focus the analysis,high,ANALYSIS,,0,0,,2
A3,"What's the hypothesis you're testing, if any?",Frame the inquiry,medium,ANALYSIS,,0,0,,3
A4,What level of depth is needed (surface scan vs. deep dive)?,Scope calibration,medium,ANALYSIS,,0,0,,4
A5,Are there specific angles or perspectives you want explored?,Direction setting,medium,ANALYSIS,,0,0,,5
A6,Who needs to act on this analysis?,Audience/action,medium,ANALYSIS,,0,0,,6
A7,What would change your mind or surprise you?,Challenge assumptions,low,ANALYSIS,,0,0,,7
A8,What's the deadline or urgency for this analysis?,Time constraints,medium,ANALYSIS,,0,0,,8
A9,What format should the analysis take?,Output format,low,ANALYSIS,,0,0,,9
A10,Are there any known biases or blind spots to watch for?,Quality control,low,ANALYSIS,,0,0,,10
A_COND_1,What's the data format and size?,Data specifics,high,ANALYSIS,,0,1,data analysis,99
A_COND_2,What geography or segment?,Geographic scope,high,ANALYSIS,,0,1,market analysis,99
A_COND_3,When did the issue first appear?,Timeline,high,ANALYSIS,,0,1,root cause analysis,99
C1,Who is the target audience for this content?,Audience definition,high,CREATION_CONTENT,,0,0,,1
C2,What's the primary goal or call to action?,Purpose clarity,high,CREATION_CONTENT,,0,0,,2
C3,"What tone is appropriate (formal, casual, technical, friendly)?",Voice/style,high,CREATION_CONTENT,,0,0,,3
C4,What's the target length or word count?,Scope,medium,CREATION_CONTENT,,0,0,,4
C5,Are there examples of style or content you want to emulate?,Style reference,medium,CREATION_CONTENT,,0,0,,5
C6,What key messages or points must be included?,Required content,medium,CREATION_CONTENT,,0,0,,6
C7,What should definitely be avoided?,Boundaries,medium,CREATION_CONTENT,,0,0,,7
C8,Where will this content be published or used?,Channel context,medium,CREATION_CONTENT,,0,0,,8
C9,What's the deadline?,Urgency,low,CREATION_CONTENT,,0,0,,9
C10,Is this part of a larger campaign or standalone?,Context,low,CREATION_CONTENT,,0,0,,10
C11,What do you want the reader to feel or do after reading?,Emotional goal,low,CREATION_CONTENT,,0,0,,11
C_COND_1,What's the SEO keyword or topic focus?,SEO focus,high,CREATION_CONTENT,,0,1,blog post,99
C_COND_2,What's the relationship with the recipient?,Relationship context,high,CREATION_CONTENT,,0,1,email,99
C_COND_3,What's the unique selling proposition?,USP,high,CREATION_CONTENT,,0,1,marketing copy,99
T1,What technology stack or language is required?,Technical constraints,high,CREATION_TECHNICAL,,0,0,,1
T2,What's the skill level of people who'll use this?,User context,high,CREATION_TECHNICAL,,0,0,,2
T3,"Are there existing conventions, style guides, or patterns to follow?",Standards,medium,CREATION_TECHNICAL,,0,0,,3
T4,What error handling or edge cases matter?,Robustness,medium,CREATION_TECHNICAL,,0,0,,4
T5,Is this for production or prototype/proof of concept?,Quality level,medium,CREATION_TECHNICAL,,0,0,,5
T6,What's the expected input and output?,Interface definition,medium,CREATION_TECHNICAL,,0,0,,6
T7,Are there performance requirements?,Non-functional needs,low,CREATION_TECHNICAL,,0,0,,7
T8,What documentation level is needed?,Documentation scope,low,CREATION_TECHNICAL,,0,0,,8
T9,How will this be tested or validated?,Quality assurance,low,CREATION_TECHNICAL,,0,0,,9
T10,What's the deployment environment?,Infrastructure context,low,CREATION_TECHNICAL,,0,0,,10
T_COND_1,What authentication method?,Authentication,high,CREATION_TECHNICAL,,0,1,API,99
T_COND_2,What's the reader's existing knowledge?,Knowledge level,high,CREATION_TECHNICAL,,0,1,documentation,99
T_COND_3,What's the existing codebase context?,Codebase context,high,CREATION_TECHNICAL,,0,1,code,99
I1,What problem or opportunity are you generating ideas for?,Focus area,high,IDEATION,,0,0,,1
I2,What constraints should ideas respect?,Boundaries,high,IDEATION,,0,0,,2
I3,How wild can ideas be — incremental improvements or moonshots?,Creativity scope,medium,IDEATION,,0,0,,3
I4,What's already been considered or tried?,Avoid repetition,medium,IDEATION,,0,0,,4
I5,What definitely won't work or isn't feasible?,Eliminate dead ends,medium,IDEATION,,0,0,,5
I6,What resources would be available to implement ideas?,Feasibility context,medium,IDEATION,,0,0,,6
I7,Who are the users or beneficiaries of these ideas?,User focus,medium,IDEATION,,0,0,,7
I8,What inspires you or what examples do you admire?,Inspiration sources,low,IDEATION,,0,0,,8
I9,What's the timeline for implementing ideas?,Urgency,low,IDEATION,,0,0,,9
I10,How will ideas be evaluated or prioritised?,Selection criteria,low,IDEATION,,0,0,,10
I_COND_1,What's the core user pain point?,Pain point,high,IDEATION,,0,1,product ideation,99
I_COND_2,What's the current process?,Current process,high,IDEATION,,0,1,process improvement,99
I_COND_3,What mood or feeling are you going for?,Mood/feeling,high,IDEATION,,0,1,creative project,99
P1,What exactly is the problem? Can you describe the symptoms?,Problem definition,high,PROBLEM_SOLVING,,0,0,,1
P2,When did this problem start or when was it first noticed?,Timeline,high,PROBLEM_SOLVING,,0,0,,2
P3,What have you already tried?,Avoid redundancy,high,PROBLEM_SOLVING,,0,0,,3
P4,What happens if this isn't solved?,Stakes/urgency,medium,PROBLEM_SOLVING,,0,0,,4
P5,Are there symptoms versus root causes to distinguish?,Depth of problem,medium,PROBLEM_SOLVING,,0,0,,5
P6,Who has relevant expertise or has seen this before?,Resource identification,medium,PROBLEM_SOLVING,,0,0,,6
P7,What changed right before the problem appeared?,Cause hunting,medium,PROBLEM_SOLVING,,0,0,,7
P8,Is this a recurring problem or first occurrence?,Pattern,medium,PROBLEM_SOLVING,,0,0,,8
P9,What would a solution need to achieve?,Success criteria,medium,PROBLEM_SOLVING,,0,0,,9
P10,What constraints affect possible solutions?,Solution boundaries,medium,PROBLEM_SOLVING,,0,0,,10
P11,What's your hypothesis about the cause?,Current thinking,low,PROBLEM_SOLVING,,0,0,,11
P12,What quick wins might provide relief while solving the deeper issue?,Pragmatic relief,low,PROBLEM_SOLVING,,0,0,,12
P_COND_1,What error messages or logs are available?,Error information,high,PROBLEM_SOLVING,,0,1,technical problem,99
P_COND_2,Who are the key parties involved?,Key parties,high,PROBLEM_SOLVING,,0,1,people problem,99
P_COND_3,Where does the process break down?,Process breakdown,high,PROBLEM_SOLVING,,0,1,process problem,99
L1,What's your current understanding level of this topic?,Baseline assessment,high,LEARNING,,0,0,,1
L2,What specifically is confusing or unclear?,Focus area,high,LEARNING,,0,0,,2
L3,What do you need to do with this knowledge?,Application context,medium,LEARNING,,0,0,,3
L4,"Do you learn better from examples, explanations, or analogies?",Learning style,medium,LEARNING,,0,0,,4
L5,How deep do you need to go (overview vs. expert level)?,Depth calibration,medium,LEARNING,,0,0,,5
L6,What related concepts do you already understand?,Build on existing,low,LEARNING,,0,0,,6
L7,Is there a specific format that works well for you?,Output preference,low,LEARNING,,0,0,,7
L8,What's the urgency — immediate application or general knowledge?,Timeline,low,LEARNING,,0,0,,8
L_COND_1,What's your technical background?,Technical background,high,LEARNING,,0,1,technical topic,99
L_COND_2,Would a real-world analogy help?,Analogies,high,LEARNING,,0,1,abstract concept,99
L_COND_3,Have you attempted this before?,Prior attempts,high,LEARNING,,0,1,skill-based,99
PE1,Who specifically needs to be convinced?,Target audience,high,PERSUASION,,0,0,,1
PE2,What are their current beliefs or position?,Starting point,high,PERSUASION,,0,0,,2
PE3,What objections or concerns might they raise?,Anticipate resistance,high,PERSUASION,,0,0,,3
PE4,What evidence or arguments do they find compelling?,Persuasion style,medium,PERSUASION,,0,0,,4
PE5,What's their motivation — what do they care about?,Values alignment,medium,PERSUASION,,0,0,,5
PE6,What do you want them to do after being persuaded?,Call to action,medium,PERSUASION,,0,0,,6
PE7,What's your relationship with this audience?,Trust level,medium,PERSUASION,,0,0,,7
PE8,What's at stake for them?,Their perspective,low,PERSUASION,,0,0,,8
PE9,Have you tried to persuade them before? What happened?,History,low,PERSUASION,,0,0,,9
PE10,"What's the format for this persuasion (written, verbal, presentation)?",Medium,low,PERSUASION,,0,0,,10
PE_COND_1,"What's the ask (funding, approval, buy-in)?",The ask,high,PERSUASION,,0,1,pitch/proposal,99
PE_COND_2,What's your BATNA (best alternative)?,BATNA,high,PERSUASION,,0,1,negotiation,99
PE_COND_3,Where are they in the buyer journey?,Buyer stage,high,PERSUASION,,0,1,sales,99
F1,What aspects do you most want feedback on?,Focus area,high,FEEDBACK,,0,0,,1
F2,What's working well that should be preserved?,Identify strengths,high,FEEDBACK,,0,0,,2
F3,What's the purpose of this work?,Context for evaluation,medium,FEEDBACK,,0,0,,3
F4,How candid can the feedback be?,Calibrate directness,medium,FEEDBACK,,0,0,,4
F5,What will you do with the feedback?,Action orientation,medium,FEEDBACK,,0,0,,5
F6,Who is the intended audience for this work?,Evaluation criteria,medium,FEEDBACK,,0,0,,6
F7,What's the timeline for revisions?,Urgency,low,FEEDBACK,,0,0,,7
F8,Are there specific criteria or standards to evaluate against?,Benchmarks,low,FEEDBACK,,0,0,,8
F_COND_1,What style guide or standards apply?,Style standards,high,FEEDBACK,,0,1,writing,99
F_COND_2,What's the brand or aesthetic context?,Brand context,high,FEEDBACK,,0,1,design,99
F_COND_3,What's the testing/review process?,Testing process,high,FEEDBACK,,0,1,code,99
R1,What do you already know about this topic?,Starting point,high,RESEARCH,,0,0,,1
R2,What specific questions need to be answered?,Research focus,high,RESEARCH,,0,0,,2
R3,What sources are acceptable or preferred?,Source criteria,medium,RESEARCH,,0,0,,3
R4,What time period is relevant?,Temporal scope,medium,RESEARCH,,0,0,,4
R5,How rigorous does this need to be (quick scan vs. thorough)?,Depth,medium,RESEARCH,,0,0,,5
R6,What format should findings take?,Output format,medium,RESEARCH,,0,0,,6
R7,Who will use this research?,Audience,medium,RESEARCH,,0,0,,7
R8,What would be surprising or change your approach?,Challenge assumptions,low,RESEARCH,,0,0,,8
R9,What's the deadline?,Urgency,low,RESEARCH,,0,0,,9
R10,Are there competing perspectives to consider?,Balance,low,RESEARCH,,0,0,,10
R_COND_1,What geography or segment?,Geographic scope,high,RESEARCH,,0,1,market research,99
R_COND_2,What's the citation style needed?,Citation style,high,RESEARCH,,0,1,academic research,99
R_COND_3,Who are the key competitors to include?,Competitors,high,RESEARCH,,0,1,competitive research,99
G1,What's the overarching vision this goal supports?,Strategic context,high,GOAL_SETTING,,0,0,,1
G2,What time frame applies to this goal?,Temporal scope,high,GOAL_SETTING,,0,0,,2
G3,How will progress be measured?,Metrics definition,high,GOAL_SETTING,,0,0,,3
G4,What resources are available?,Feasibility,medium,GOAL_SETTING,,0,0,,4
G5,What obstacles are anticipated?,Risk awareness,medium,GOAL_SETTING,,0,0,,5
G6,Who else needs to be aligned on this goal?,Stakeholders,medium,GOAL_SETTING,,0,0,,6
G7,What happens if the goal isn't achieved?,Stakes,low,GOAL_SETTING,,0,0,,7
G8,What's the stretch version versus minimum acceptable?,Ambition calibration,low,GOAL_SETTING,,0,0,,8
G_COND_1,How will individual contributions be tracked?,Contribution tracking,high,GOAL_SETTING,,0,1,team goal,99
G_COND_2,What accountability structures help you?,Accountability,high,GOAL_SETTING,,0,1,personal goal,99
G_COND_3,How does this connect to revenue or growth?,Business connection,high,GOAL_SETTING,,0,1,business goal,99
FS1,Is precise tone and audience targeting critical?,CO-STAR indicator,high,FRAMEWORK_SELECTION,,0,0,,1
FS2,Does this require looking things up or using tools?,ReAct indicator,high,FRAMEWORK_SELECTION,,0,0,,2
FS3,Is first-draft quality insufficient—does this need iteration?,Self-Refine indicator,high,FRAMEWORK_SELECTION,,0,0,,3
FS4,Would stepping back to principles help before tackling specifics?,Step-Back indicator,high,FRAMEWORK_SELECTION,,0,0,,4
FS5,"Can the response be broken into parallel, independent points?",Skeleton-of-Thought indicator,high,FRAMEWORK_SELECTION,,0,0,,5
FS6,Is the optimal prompt structure unclear?,Meta Prompting indicator,high,FRAMEWORK_SELECTION,,0,0,,6
